+-----------+-------------+--------------------+-----------+--------------------+--------------------+
|offender_id|in_out_status|booking_created_date| admin_hash|        admin_gg_pos|      admin_event_ts|
+-----------+-------------+--------------------+-----------+--------------------+--------------------+
|          7|           IN|          2022-09-09|  357638951|00000000000001001161|2022-09-20 15:19:...|
|          8|           IN|          2022-09-08|-1552859133|00000000000001009986|2022-09-20 15:19:...|
|          9|           IN|          2022-09-09| -191861523|00000000000001002058|2022-09-20 15:19:...|
|         10|           IN|          2022-09-09|  539799086|00000000000001003605|2022-09-20 15:19:...|
|         11|           IN|          2022-09-08| 2007718771|00000000000001005819|2022-09-20 15:19:...|
|         12|           IN|          2022-09-08|-1767613207|00000000000001005047|2022-09-20 15:19:...|
|         13|           IN|          2022-09-08|  400527728|00000000000001009539|2022-09-20 15:19:...|
|         14|           IN|          2022-09-09| 2119071996|00000000000001003557|2022-09-20 15:19:...|
|         15|           IN|          2022-09-08|-1828981888|00000000000001008919|2022-09-20 15:19:...|
|         16|           IN|          2022-09-09|-1512434218|00000000000001001827|2022-09-20 15:19:...|
|         17|           IN|          2022-09-09|-1117556881|00000000000001000907|2022-09-20 15:19:...|
|         18|           IN|          2022-09-08| 1366458738|00000000000001006340|2022-09-20 15:19:...|
|         19|           IN|          2022-09-08|-1058594651|00000000000001008766|2022-09-20 15:19:...|
|         20|           IN|          2022-09-09|-1718666028|00000000000001004036|2022-09-20 15:19:...|
|         21|           IN|          2022-09-08| -873959270|00000000000001005852|2022-09-20 15:19:...|
|         22|           IN|          2022-09-08|-1020435934|00000000000001006540|2022-09-20 15:19:...|
|         23|           IN|          2022-09-08|-2113713864|00000000000001007496|2022-09-20 15:19:...|
|         24|           IN|          2022-09-09|-1934151142|00000000000001001884|2022-09-20 15:19:...|
|         25|           IN|          2022-09-08|-1652641986|00000000000001006881|2022-09-20 15:19:...|
+-----------+-------------+--------------------+-----------+--------------------+--------------------+
